Date,Owner,Title,FU Reply
2017-06-14 16:59:00,namimii,Saat Habib Rizieq Bertemu Zakir Naik di Arab Saudi,"Aseli berlinang air mata gue bro baca berita ini, terharu, dua orang pilihan Allah, imam besar, guru besar, musuh utama para kafir dan komunis serta zionis, ulama besar islam bertemu, subhanallah.. Berikanlah habib rizieq shihab dan dr.zakir naik senantiasa kesehatan, umur yang panjang, dan limpa..."
2017-06-13 21:22:00,namimii,Saat Ridwan Kamil Peluk Erat Anaknya yang Lulus Masuk ITB...,"Panasbung: * Astaghfirullah, anak Pak Ridwan Kamil tak Pakai Gamis * Miris, Ridwan Kamil Lebih Memilih Universitas Dibanding Pesantren * Ridwan Kamil Memilihkan Jurusan Teknis Ketimbang Agama * Ridwan Kamil Menguliahkan Anaknya di Kampus Sekuler Sabar gan, panasbung emang bodoh semua"
2017-06-13 21:05:00,katakanlah.news,Firza Husein Bersalawat Usai Diperiksa Jadi Saksi Rizieq,Semoga kasus ini tidak berlanjut ke pengadilan Karena seyogyanya sebagai bangsa yg beradab wajib membela kehormatan seorang ulamanya yg juga merupakan guru sekaligus pemimpin Semoga di bulan penuh ampunan ini bangsa ini sudi membukakan pintu maaf bagi imam besar nya sendiri Ulama cabul tong?
2017-06-13 19:55:00,bruceywucey,Ini Syarat Rumah Tangga yang Berhak Dapat Subsidi Listrik,"puas banget tuh pendukung jokowi sekarang apa-apa serba mahal heran ya janji kampanye pas sekarang bisa beda semua emank sih pembangun jalan banyak tapi bisa rakyat makan semen sama pasir mikir pak tahu sih bapak orangnya gak bisa mikir Makanya kerja, jangan ikutan demo melulu bodoh"
2017-06-13 17:25:00,duomiloser,"Hujat Ibu Hamil Karena Diberikan Kursi Prioritas KRL, Status Wanita Ini Viral","Ya hak dia lah mau ngasih apa engga, netizen alay sotoy mah gavm usah dianggep cuekin aja, buang energi nanggepin keybord warrior doang.. lagian udah tau hamil bukannya diem diem dirumah, lakinya ga mampu nafkahin ampe harus kerja juga padahal lagi hamil?? Bacot lo"
2017-06-13 12:36:00,frances19,Buni Yani Minta Masyarakat Indonesia Mendukungnya Disidang.,Minta dukungan fpi aja cuk
2017-06-13 12:34:00,telfs,Sejumlah Pondok Pesantren di NTB Terindikasi Sebarkan Paham Radikal,Jabar Ntb Sumbar Sarang panasbung otak kopong
2017-06-12 19:40:00,justinbibib,"Sisi Lain Rizieq Shihab, Sang Cucu Nabi Muhammad SAW",cuma disini keturunan nabi mau dikriminalisasikan Ini contoh manusia tolol
2017-06-09 18:33:00,nevertalk,Alumni 212 Sebut Aksi Bela Ulama Lebih Penting dari Tadarus,"bodoh nih cepirit 212, tadarusan dibilang gak penting"
2017-06-09 18:13:00,sheraiah,Aksi Bela Ulama 96 Hanya Diikuti 150 Orang,Katanya 7 juta
2017-06-09 16:52:00,mbakmomon,"Dilarang Pengelola Istiqlal Gelar Aksi Bela Ulama, Tuding Rezim Penguasa Intervensi","MAKSUD ENTE APA? Ini sudah jelas kriminalisasi ulama masih aja ngeyel. Coba agan buka mata buka hati, ingat sesalah-salahnya ulama adalah sebenar-benarnya kita!! Ini yg ngomong bukan ane loh, USTADZ YM!! :shakehand Umat aja semua bersatu kok saat 212, kenapa sekarang enggak? TUNJUKKAN PADA DUNI"
2017-06-09 16:26:00,saya.a1,Aksi Bela Ulama juga Bahas Penyambutan Habib Rizieq,Cepirit 212
2017-06-09 16:14:00,demen.mamahmuda,Koordinator Berharap Aksi Bela Ulama Diikuti 500 Ribu Orang,Katanya 7 juta
2017-06-09 15:46:00,badutmalam,"Dikira Mau Ditangkap Paspampres, Tukang Becak Ini Dapat Bantuan Dari Jokowi","Ya.. inilah kelas Jokowi, senterklas! :) Ini pasti fansnya rijik"
2017-06-09 15:38:00,miexology,Alumni 212 Berharap Diberi Ruang di Masjid Istiqlal,Makan tuh 7jt
2017-06-09 14:28:00,namimi,"Konon Ada Aksi Bela Ulama, Tapi di Istiqlal Tampak Biasa",Hahaha sukurin
2017-06-09 14:26:00,cukur.rambu,Kapolda Metro Jaya: Apakah Oknum Ulama Bersalah Tak Dihukum? Tidak Boleh Dong,Maju trus pak
2017-06-09 14:22:00,impassion,Penyidik Polda Metro Dilaporkan ke Propam karena Mengancam Habib Rizieq,"Siapapun bro, catat SIAPAPUN mengancam, mengintinidasi, memfitnah, mengkriminalisasi ulama kami, guru kami, imam besar kami, maka bersiaplah menghadapi kami para mujahid tentara allah yang siap berjihad wakafkan jiwa raga..!! https://s.kaskus.id/images/2017/06/09/9691256_20170609015617.jpg Bacot lo"
2017-06-09 14:17:00,segokarak,"Ada Tausiah Di Istiqlal, Aksi Bela Ulama 96 Digelar Di Luar Masjid",Udah dilarang msh ngeyel
2017-06-09 14:08:00,aghilfath,"Alumni 212 gelar tarawih on the street, ini reaksi Kapolda Metro",lu yang cabul setan lo..!! Kalo belum terbukti sama aja fitnah..!! Ya udah kalo gak cabul suruh pulang aja guru lo. Berani kagak? bodoh lo
2017-06-09 09:30:00,andrikfk,Isuzu MU-X 4x4 Siap Meluncur di Agustus,Ga ada apa2 nya lah dibandingin G63 AMG 6X6.. Cah pekok
2017-06-08 12:09:00,aghilfath,Jokowi copot nama Din Syamsuddin dari daftar dewan pengarah UKP-PIP,Sukurin lo
2017-06-08 11:57:00,aghilfath,Kebutuhan Hidup Rizieq Shihab di Arab Saudi Ditanggung Sukarelawan,Macam gembel aja
2017-06-07 16:00:00,trasidele,Awas Berita HOAX: Presiden Erdogan Desak PBB Lindungi Habib Rizieq dan Ulama di ...,"jelas2 yang bikin hoax itu panastak yang ingin mengadu donba erdogan dengan habib rizieq. ga akan bisa. habib rizieq itu guru spiritualnya erdogan dan raja salman, mana mempan trik bodoh gini untuk mengadu domba mereka. Ini sarkasme atau beneran bodoh ya?"
2017-06-07 15:45:00,katakanlah.news,"Firza dan Rizieq, Pengacara: Masa Murid Kurang Ajar Sama Guru","Klo ada apa2 emang masalahnya dimana? Wong lainan jenis kelamin kok. Nastaik homo tuh permasalahin, penghancur peradapan, klo laki sama laki kimpoi punya anak bentuk nya taik bukan manusia :D:D Kan bukan muhrim Dasar bodoh"
2017-06-07 11:14:00,nihilistic,Habib Rizieq Ajukan Long Stay Visa ke Arab Saudi,Katanya mau pulang tgl 12 Katanya mau pulang kalo jokowi lengser Sekarang mau long stay
2017-05-27 19:55:00,pepayamengkel36,Sweping FPI di depok dibubarkan polisi,"Lucu aja, menegakkan amar maruf nahi munkar malah dilarang, harus nunggu korban dari gangster motor lagi emangnya..!! Kont0l lo"
2017-04-17 19:53:00,ahmad.jufrie,Santri Ciamis Kembali Long Macrh Tamasya Al Maidah,bodoh bgt
2017-04-02 09:35:00,aghilfath,Skybridge Stasiun Balapan Solo-Terminal Ditarget Rampung Bulan Ini,Hasil kerja walikota kafirrrrrrr
2017-03-10 23:02:00,mtx98,"Bandung Kebanjiran Lagi, Aher: Bukan Berarti Kami Tak Bekerja",Bajir gpp yg penting seiman
2017-03-09 15:23:00,seamono,SBY: Insya Allah Saya Akan Ambil Bagian dari Pemerintahan Ini,Bodo amat lah
2017-03-03 22:17:00,KASKUS.Editor,[Success Stories] Berawal Dari KASKUS Hingga Dimodali Anak Presiden Jokowi,AHY presidenku Habib rizieq wakil presidenku
2017-03-03 15:07:00,kibrottaawa,Raja Arab Saudi ternyata Suka Dengan Moto Tiga Kata Jokowi Ini,"Kalo ""jakarta untuk rakyat"" suka gak tuh king salman?"
2017-02-17 21:13:00,aghilfath,"Dikebut Setelah Mangkrak 20 Tahun, Tol Becakayu Siap Operasi Akhir 2017",Terima kasih sby & ahy
2017-02-10 22:01:00,kaskus.infoforum,"Tongkrongin Live Debat Menuju DKI 1, Sebelum Nyoblos Nanti Gan!",agus-silvy juaranya:ultahhore Iye iye terserah lo
2017-02-04 16:57:00,kakemapisang,Firza Husein Habiskan Waktu di Tahanan dengan Zikir dan Baca Quran,"Klo berbicara dengan orang pinggiran sih gak masalah pake bahasa kasar seperti pisang, dll itu. Tapi yang sedang kita bahas disini adalah neng firza yang merupakan salah seorang wanita yang patut kita hormati. Masakan ente bisa menuduh dia seolah-olah dia sampah yang suka pisang!? Ini sarkas"
2017-01-16 14:59:00,foga,3 Program Unggulan Dari 3 Cagub DKI Jakarta,Ane lebih setuju program agus sylvi karena jelas... Kebetulan ane juga butuh uang untuk modal usaha. Ini contoh manusia tolol
2016-11-22 08:37:00,InRealLife,Cerita Pengacara Buni Yani Foto Bareng Jokowi di PIM,Itu kan suaminya fahira idris (gentong)
2016-11-13 13:43:00,xcqtor,Boni Hargen ungkap dana aksi demo 411 berasal dari hasil korupsi SBY,emg sby terlibat hambalang ya? Iya bodoh
2016-11-08 11:13:00,bacot.kuda,"Ahmad Dhani Dituduh Menista Jokowi, Ini 3 Pembelaannya",Ya ampun ini org nempel terus sama si valak
2016-10-02 18:00:00,super..pekok,Solo A - Z,I. Iki Ini Iki gudeg mbak yus Iki mie ayam
2016-10-02 08:59:00,xibaotai,Artis di Balik Video Mesum Papan Iklan Blok M,"Ni balasan buat pemimpin bermulut kotor, berhati kotor menindas rakyat kecil membela pengembang, pro asing cukong, ga berani ikut tax amnesty.. bayangin kalo anak kecil melihat video itu, siapa yang bertanggung jawab atas semua ini??saatnya jakarta berubah.. Masih mau pemimpin kotor?? Ini pendukung"
2016-09-30 20:35:00,stratovarius666,"Sungai di Jakarta Kini Bersih, Anies: Itu Dirancang oleh Pak Fauzi Bowo",menteri pecatan
2016-09-30 20:10:00,aga377,"Tax Amnesty Periode I Sukses, Pengusaha Gelar Tumpengan",panasbung ikutan gak?
2016-09-30 20:09:00,sonsevenine,Mahasiswa Madiun Tolak Kedatangan Presiden Jokowi,cuma ber4?
2016-09-18 22:32:00,adoeka,"Fahri sebut Irman pengusaha kaya, dijebak uang receh Rp 100 juta",TS tolol
2016-09-07 18:41:00,heavenisnomore.,"Lepas Kontingen PON Jabar, Aher Teteskan Air Mata",Bodo amat
2016-08-10 11:31:00,rakyatmedan,"Gila akh, Penjualan Premium akan Dihentikan, gimana nasip kami",Lo jalan kaki aja tong
2016-08-05 09:00:00,jackal15,"Yang Tadinya Berambisi Jadi Cagub Justru ""Hilang"" Saat Tahapan Pilkada Dimulai",Kumpulan manusia2 tolol
2016-08-03 08:24:00,teman.kapok,Golkar akhirnya pilih Ahok ketimbang Yusril,ah masa :travel Sono lo maen twitter aja sama followers2 dungu lo
2016-08-02 12:26:00,kaskursi,Yusril Tokoh yang Paling Tak Direkomendasikan Jadi Gubernur DKI,biasanya yg ga diunggulkan malah menang Delusi akut
2016-07-30 19:53:00,RocketBull,"Tak Lama Lagi, Jantung Babi Bisa Ditransplantasikan Pada Manusia",Habis transplan auto-murtad
2016-07-30 19:29:00,visuapalooza,Warga Jarah Minuman Kemasan Yang Diangkut Truk Terguling di Pekalongan,Mental panasbung
2016-07-30 12:23:00,jibrut212,Gerindra: Sandiaga Uno Ada di Garis Depan Lawan Ahok di Pilgub,Om ucril kiper aja
2016-07-29 23:16:00,maen.gundu,"Diminta Tutup Sekolah, Istana Minta Turki Tak Campuri Urusan Indonesia",sangat wajar negara sekuler seperti kita ini tak mau di ganggu para investor asingnya yang telah menyediakan infrastruktur bagi negri ini walau sang investor yang mau diganggu negara lain sangat berpikiran nyeleneh dan ekstrem :)b Bacot aja lo
2016-07-29 23:08:00,botolkecapp,Dramatisnya suasana saat prabowo pilih sandiaga jadi cagub dki,Pada sujud syukur gak kayak om wowo dulu?
2016-07-29 21:32:00,kandang.naga,"Sebut Lelaki Indo Jelek-Jelek Nggak Level, TKW Ini Dihujat Kawan-Kawan Seprofesinya","Mau ngomong apa saja itu hak dia. Yang penting tidak menghina atau menyakiti orang, bro. Komen terbodoh di thread ini"
2016-07-29 20:56:00,aghilfath,Prabowo Pilih Sandiaga Uno sebagai Calon Gubernur DKI Jakarta dari Partai Gerindra,Om ucril gimana
2016-07-29 10:19:00,valkyr1,Bagaimana Ahok Bisa Semobil dengan Jokowi dan Megawati Saat ke Rapimnas Golkar?,Tenang aja Ntar om ucril semobil ama ahmad dhani & ratna valak Yg nyetir dul
2016-07-29 10:15:00,valkyr1,Bagaimana Ahok Bisa Semobil dengan Jokowi dan Megawati Saat ke Rapimnas Golkar?,Tenang aja Ntar om ucril semobil ama ahmad dhani & ratna valak
2016-07-28 17:32:00,aghilfath,"Jelang Eksekusi Mati, Rohaniawan Datang ke Nusakambangan",Kok ada yg dari pakistan? Varokah bgt
2016-07-28 17:19:00,new.laopan,Ibas Ucapkan Selamat atas Keputusan Ahok,Ibas & bu ani harusnya maju dki1 biar panasbung seneng
2016-07-27 21:48:00,regaliaaa,"[Lounge] All About Pokemon Go(News, Previews, Reviews, Chit-chat) - Part 1","Bray, kok gw gak bisa log in ya?"
2016-07-25 20:32:00,mol1605,"Kesaksian Warga Poso: Kalau Tak Dibantu Santoso, Muslim Poso Sudah Habis Dibantai",Sumber bodoh
2016-07-25 16:23:00,sorken,"Aneh, Wajah Jasad Santoso Terus Keluarkan Air Keringat",Mayatnya bersinar Mayatnya wangi Mayatnya berkeringat Opo meneh? PEKOK
2016-07-25 08:37:00,jontor2016,Orang Dekat Mega Pastikan PDIP Dukung Ahok,Om ucil gimana?
2016-07-24 16:46:00,cingeling,"[NEXT ANGELINE] Ditinggal Mati Ibunya, Alifa Dapat Penganiyaan Keras dari Bibinya",Boleh siksa anak kecil asalkan santun dan seiman
2016-07-23 16:34:00,victim.of.gip99,"Risma Memimpin dengan Hati Nurani, Gaya yang Tak Dipunyai Ahok",Loh? Bukannya ahok udah tersangka (menurut info A1 TS) TS bodoh
2016-07-19 21:05:00,victim.o.gip99,Drone OS-Wifanusa Ciptaan Ongen Lolos Sertifikasi IMAA,Jempol rakyat = gembel di twitter
2016-07-16 19:50:00,eggy.sujana,"Kedatangan Prabowo ke Banten, Desmon: Try Out untuk Pilpres 2019",Bodo amat bray
2016-07-11 01:23:00,Caverim,"Usai sosialisasi, caleg PKS ditangkap bawa senpi dan kunci T",Panasbung mana suaranya?
2016-07-11 01:22:00,manjuntak15,M Sanusi Nangis Lebaran di Balik Jeruji,Cagub santun
2016-07-10 22:12:00,aghilfath,Johan Budi: Gories Mere dan Diaz akan Diangkat Jadi Stafsus Presiden,Apa urusan ane sama si Wowo dan kedudukan? Ane bukan penjilat pantad seperti ente. Gak bosen jadi gembel gip?
2016-07-09 23:43:00,mardyanyan,"Tak Disediakan Bilik Asmara di Dalam Lapas, Napi Kasus Terorisme ""Ngamuk""",Teroris memang hobinya bikin anak
2016-07-09 19:42:00,namima,"Please, Jangan Manfaatkan Wafatnya Husni Kamil Manik demi Politik",Panasbung memang spt itu
2016-07-09 13:41:00,visuapalooza,"Tak Mau Buka Penutup Jendela dan Marahi Pramugari, Penumpang Wings Air Diturunkan",Mirip roy suryo pas diusir sama lion
2016-07-09 12:56:00,bungtak.bersatu,Prabowo : buat apa open house tapi rakyat ditipu,No FU Reply
2016-07-09 12:26:00,namima,"Jokowi Gelar Open House di Yogya, Ribuan Porsi Makanan Disiapkan untuk Warga",Panasbung gembel cuma bisa ngiler di parkiran
2016-07-09 12:17:00,budimansia,"Heboh, Tersebar Dugaan Ketua KPU Husni Kamil ManikTewas Diracun",Panasbung memang gak punya otak
2016-07-08 23:12:00,victim.o.gip99,"""INFO A1!"" Ahok Ditetapkan Sebagai Tersangka Kasus Sumber Waras",A1 matamu dol
2016-07-08 12:51:00,visuapalooza,Fahri Hamzah: Semua Menteri Jokowi Harus Mundur,Ini orang masih wakil ketua dpr?
2016-07-06 21:47:00,khontoljanc*k,Cerita Penjual Kerupuk Tunanetra yang Selalu Hadiri Open House RI-1,pertamaxkah? :malu Pertamax gundulmu
2016-07-06 21:40:00,jackal15,Pesan Moral Jokowi di Balik Video Adu Panco dengan Kaesang,"Salah ente, SBY 10 taon gak ngapa2in cuma bisa nyanyi ame mewek...indikator kinerja ekonominya payah. 10 taon jd presiden pendapatan perkapita cm naek dari 1000 USD ke 3800 USD. GDP cm naek dari 200an M USD ke 800an M USD...cm naek dari no 25an ke no 15 itu. Cm masuk G-20 gx keren. 10 taon SBY jd"
2016-07-06 10:19:00,khontoljanc*k,Tabuhan Bedug Pastur dan Pendeta Awali Pawai 999 Bedug Purwakarta,Kita tunggu komentar panasbung
2016-07-05 00:56:00,kakekserbatahu,"Jokowi Akan Lebaran di Kota Padang, Warga Antusias Menyambut","Kira2, apa esensinya presiden lebaran dipadang sementara dipulau Jawa sedang terjadi kekacauan arus mudik ? #RezimJungkirBalik Gila nih zaeffendy ngaskus juga Besok gw bata lo tong"
2016-07-04 15:45:00,victim.o.gip99,"Rakyat Susah di Jalan untuk Mudik, Putera Jokowi Bagi Video Adu Ponco dengan Jokowi",TS tolol Itu sudah
2016-07-02 21:54:00,maspiyu,Ahok Dibully Netizen Pakai Hastag #AhokGubernurKulitKabel,Thread bodoh Ts bodoh
2016-07-01 23:10:00,aghilfath,Yusril Lengkapi Formulir Penjaringan Cagub DKI PPP,Pengemis sejati
2016-06-29 10:54:00,langlangkongho,Ssttt... OTT KPK Sasar Anak Buah SBY,Mampus lo
2016-06-29 03:12:00,ddjadjaaaaaa,PKS Mulai Tertarik Calonkan Sandiaga Uno di Pilkada DKI,"Teman Mabok sudah mulai kelojotan Bu Risma, walikota kesayangan rakyat Surabaya, sebentar lagi akan disuruh oleh Pedeiprett untuk mengkhianati kepercayaan rakyat Surabaya untuk ikut dalam Pilkada DKI 2017. Joke & Ahoax dulu diberi karir politik yg baik, tetapi belajar BERKHIANAT oleh Pedeipre"
2016-06-28 00:51:00,kabe1,Yusril: Ahok Pasti Ingin Jadi Cawapres jika Menang dalam Pilkada DKI 2017,bodoh Itu sudah
2016-06-28 00:30:00,kaskursi,Lagi Galau!! Yusril Berharap Pekan Depan Ada Partai Politik Yang Mendukungnya,Minggu depan pada mudik cril
2016-06-27 23:58:00,aghilfath,Ratna Sarumpaet Tak Berhasil Keluarkan Dua Pemukul Polisi Saat Demo Tolak Ahok,Awas ada valak
2016-06-27 23:20:00,madurathor,"[ibu kandung nastak] Ratna Sarumpaet: Kasihan ""Teman Ahok"", Mereka Jadi Korban",Itu mah Valak
2016-06-27 20:26:00,Kkunyuk,Nama Warung Tidak Dukung Wisata Halal akan Ditertibkan,Warung nasi goreng al-kafirun
2016-06-27 19:38:00,langlangkongho,Beredar Surat Minta Fasilitas untuk Anak Fadli Zon,Leh uga si zonk Ntaps
2016-06-27 00:02:00,bocorals,Dokter: Masyarakat bisa bedakan vaksin palsu,Kok baru sekarang ketahuan dok? bodoh
2016-06-26 23:29:00,gd1930,"Ulang Tahun ke-80, HABIBIE Beri Potongan Tumpeng Pertama Ke JOKOWI",Om wowo sama om ucril gak dibagi?
2016-06-26 22:15:00,rebleeding,Ini wajah pasutri pembuat vaksin palsu,Yg penting santun
2016-06-22 22:15:00,ogbonna,"Desmon : Kalau Mengurus Keluarga Tak Beres, Bagaimana Memimpin Polri?",Nyindir om wowo Cerai sama istri Pas pilpres mau rujuk tapi gak jadi Anaknya homo
2016-06-22 13:15:00,eggy.sujana,"Negeri Kian Hancur Lebur, Akankah Prabowo Subianto Tinggal Diam","kan ada sang putra mahkota, pangeran gemulai didit hediprasetyo yg siap utk menggemulaikan indonesia :betty Katanya pacaran sama velove Jangan2 settingan biar gak dikatain homo"
2016-06-21 04:24:00,heavenisnomore,Survei Pilgub DKI:Yusuf Mansur Lebih Disukai Ketimbang Risma,Bodo amat lah
2016-06-21 01:05:00,rendymyid,"Gubernur Jateng Ambil Rapor Anak, Facebook Ganjar Banjir Pujian",Wowo pernah ngambil rapor anaknya gak?
2016-06-19 11:03:00,kodok.nongkrong,"#Begini Lika - Liku Mustofa Nahra, Caleg Gagal dari PKS Yang Hina Istri Gus Dur",Si caleg gagal tukang fitnah
2016-06-16 21:54:00,GeorgeSatan,"★★ Via YouTube, SBY Minta Proses Pencalonan Tito sebagai Kapolri Steril dari Politik",Masih pengen jadi presiden tuh kebo
2016-06-15 10:05:00,heavenisnomore,Yusril Yakin Dapat Dukungan Seusai Buka Puasa Bareng SBY dan Ical,Cril bangun cril
2016-06-12 03:55:00,matakumerah,"Barang dagangan disita Satpol PP Serang, ibu Eni rugi Rp 600.000","udah tua bukannya ibadah ramadhan malah jualan makanan siang2 11 bulan jualan makan, khusus ramadhan ya ganti jualan gorengan atau kolak sore2 jelang buka lah bu selain bisa dapet rejeki sekaligus ibadah dan aman dari razia :imlek2 Ini contoh manusia bodoh"
2016-06-07 16:25:00,performante,"Jauh Dari Kesan Mewah, Rio Haryanto Pilih Sahur Dengan Ayam Bumbu Asam Manis",Gak ada berita lain?
2016-06-07 10:24:00,wellthatshit,"Kunjungi Arab Saudi, Gubernur Jabar Siap Wujudkan Museum Nabi Muhammad",Makan tuh museum
2016-06-06 11:00:00,eggy.sujana,Aliansi Ulama seindonesia Serukan Fardhu ‘Ain Bantu Muslim Jakarta Tumbangkan Ahok,Panasbung pada gak puasa
2016-06-06 03:58:00,dsturridge15,"Dua Periode PKS Pimpin Jabar, Tingkat Kemiskinan Semakin Anjlok",Terima kasih aher dan sosis so nice
2016-06-06 03:53:00,eggy.sujana,Presiden Prabowo Gelar Bazar Daging Sapi Murah di Sukabumi,Presiden panasbung
2016-06-05 12:11:00,barang.kali,"Survei: Elektabilitas Ahok Menurun, Yusril Berpeluang Menyalip",Udah dapet partai blm cil?
2016-06-05 10:47:00,kurt.cob41n,"Aplikasi Qlue, Sandi Uno: Tetangga Saya Pada Gak Pake Tuh",Katanya santun Bacot juga ternyata
2016-06-02 17:31:00,sorken,Ahmad Dhani Akan Mogok 3 Hari Jika KPK Tak Segera Tangkap Ahok,Luar biasa dan Luar biasa bodoh
2016-06-02 08:01:00,pandabeerrr,"Kamis Besok, 2000-an Buruh akan Demo Ahok di Balai Kota dan Depan Gedung KPK",Kumpulan orang bego
2016-06-02 07:57:00,oat.ml,"Gara-Gara Nilai Jelek, 4 Siswa di Lamongan Bakar 21 Rapor",Bibit panasbung
2016-06-02 07:54:00,pandabeerrr,Massa Anti-Ahok Tertipu Lokasi Demo di Gedung KPK,Haha bodoh
2016-06-01 23:45:00,jackal15,Prabowo Hingga Ahmad Dhani Hadiri Peluncuran Buku Fadli Zon,Gak penting bgt ya
2016-06-01 23:30:00,nangsutowijoyo,Sandiaga Uno Ikut Tes Kepatutan di PKB,Om ucril gimana dong?
2016-06-01 17:05:00,molanay,"Melongok Ruang Kerja Fadli Zon yang Dilengkapi Sofa, Kasur dan Kursi Pijat",Makin gembul ya
2016-06-01 15:22:00,gembalarusa13,Kivlan Zein: Partai Komunis Indonesia Sudah Berdiri 2 Minggu Lalu,Wahaha bodoh
2016-06-01 15:11:00,jokolelono101,"Bila Ahok Maju dalam Pilkada, Ekonomi & Sosial DKI Diprediksi Babak Belur",Yg babak belur panasbung
2016-06-01 14:53:00,heavenisnomore,"Rizieq: Jumat, Kami Kerahkan Seluruh Anggota FPI untuk Mengepung Istana",Kumpulan manusia bodoh
2016-06-01 12:26:00,mr.kampret.jr,Ustadz HTI Haramkan Ucapara Bendera dan Menjadi Pembina Upacara,Panutan panasbung hebat ya
2016-06-01 12:24:00,rosadie0606,Ahmad Heryawan : Pembangunan Monorel di Jawa Barat Nol Rupiah,Aher for dki1 untuk indonesia yg lebih barokah
2016-06-01 10:14:00,charliebego,Kivlan Zen: Metro TV dan Tempo Adalah Corongnya Komunis,Jendral tukang gosip
2016-06-01 00:56:00,Avangelino,Ratna Sarumpaet: 1 Juni Sidang Rakyat Gulingkan Ahok Pemimpin Gila,Mukanya jelek
2016-06-01 00:35:00,jalakranau,"Ruhut Sitompul: Susah Bendung Ahok di DKI Jakarta, Superman Pun Kalah",Om ucril bijimane?
2016-05-31 21:31:00,misteri.soliter,Ahok Tegaskan Masih Berpasangan dengan Heru dalam Pilkada DKI 2017,Panasbung mana suaranya
2016-05-31 20:49:00,bernard123,"Email pantautv.mui@gmail.com, MUI Libatkan Masyarakat Memantau TV Selama Ramadhan",Hebat pake gmail hahaahaahahahahhaahha
2016-05-31 20:20:00,si.tamfan,La Nyalla Tiba di Soekarno-Hatta Melalui Pintu Kargo,Satu lagi pangeran panasbung tumbang
2016-05-31 16:29:00,eneng.munaroh,Warga Jakarta Dukung Pelaporan via Qlue,Yg gak mendukung qlue cuma org bodoh
2016-05-31 15:31:00,eneng.munaroh,"Tipe Pemimpin Seperti Ahok dan Jokowi Bukan Nekat, Tapi Tegas",Kalo wowo gimana?
2016-05-31 15:29:00,tohir.57,Habiburokhman Tertawakan Ahok Yang Baper Ingat Bung Karno,Mukanya jelek Itu sudah
2016-05-31 15:27:00,kurt.cob41n,"Mantan Aktivis HMI Didakwa Korupsi Rp 89,8 Juta",http://s.kaskus.id/images/2016/05/31/8632103_20160531075338.jpg Wahahaha bodoh
2016-05-31 15:06:00,langlangkongho,"Diduga Menipu, Vicky Prasetyo Terancam Dipenjara Lagi",Mampus nih si bodoh
2016-05-31 15:02:00,tumblrsjw,Senator terhormat fahira Idris menghilang dari dunia twitter semenjak....,Hobinya mengkafirkan orang tuh
2016-05-31 10:17:00,cowo.macho,"Astaga, Ahmad Dhani Izinkan El Nonton Film Bokep, Kado Ultah ke-17",Panasbung teladan
2016-05-30 19:11:00,avolutionvina,"Ramai di Medsos, Jokowi Belanja Tanpa Pengawalan Ketat di Mangga Dua","udah konfirmasi blm ke pak Jokowi atau anaknya? sekilas saya dilihat dari perawakannya itu bukan pak Jokowi, anaknya juga kgk mirip. Ya ampun, ini orang bodoh bgt"
2016-05-30 16:40:00,heavenisnomore,Yusril Langsung Telpon Ketua RW Agus Iskandar yang Dipecat Ahok,Cie cie cie
2016-05-30 16:00:00,ndemun75,Polisi Berpangkat Bripka Tak Terima Ban Mobilnya Dikempeskan Petugas Dishub Jaksel,penegak hukum gatau aturan.. memalukan kalau salah ya terima saja legowo kaya wowo Emangnya wowo legowo?
2016-05-29 18:32:00,m.a.w.a.r.,Agus Yudhoyono berani jadi cagub dki Jakarta?,Agus.wakaka. :ngakak ...tugas d luar negri aj bknny di barak jagain pasukan malah jalan2 ...dnger2 jg anise pusing jagain ni org krn suka lirik kanan kiri.tampang aj yg kalem.tp.... Wkwkkwkw Tau dari mana bray?
2016-05-29 10:35:00,paolo03,"Teman Ahok Kumpulkan 900 Ribu KTP, Apa Kabar Janji Habiburokhman?",Ini org mukanya jelek bgt ya
2016-05-27 23:57:00,monyetberuk1.0,Perkelahian di Malioboro yang Tewaskan 1 Orang Ternyata Dipicu Suara Motor,Panasbung jogja
2016-05-27 10:44:00,japek,"Bila Diterima Jepang, Naik Kereta JKT-SBY Cuma 5 Jam",Panasbung mana suaranya?
2016-05-27 10:43:00,nginx.404,Ahmad Dhani Akan Larang Ulama Pakai Sorban Jika Berkuasa,Jika jika jika
2016-05-27 10:38:00,kabe1,"Nyanyikan Lagu Ini, Ahmad Dhani Ditinggal Pergi Prabowo",Orang2 gagal move on
2016-05-25 01:43:00,GeorgeSatan,★★★ Yusril Sebut Megawati Layak Dapat Gelar Doktor Kehormatan ★★★,Kerja keras ya om ucril
2016-05-25 00:42:00,jackal15,Ahmad Dhani Cs Gelar Konser Revolusi Pancasila di Gedung DPR Kamis 26 Mei,Om ucril diundang gak?
2016-05-25 00:03:00,cingeling,"Panik...Dikira ada Razia, Biker Angkat motor dari Jalur busway",Yg kayak gitu biasanya panasbung
2016-05-25 00:01:00,jake.blue,DEMOKRAT TEGASKAN ANTI DUKUNG A-HOG SAMPAI KAPANPUN,Bodo amat
2016-05-24 23:59:00,agent5191,Kisah Penganut Agama Leluhur Batak yang Terasing di Negeri Sendiri,Diskriminasi onta kah?
